"","title","url","imdbRating","ratingCount","duration","year","type","nrOfWins","nrOfNominations","nrOfPhotos","nrOfNewsArticles","nrOfUserReviews","nrOfGenre","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western","Recommendation"
"4050","Cinderella Story","http://www.imdb.com/title/tt0356470/",5.8,"45035","5700",2004,"video.movie","6","8","38","104",228,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Average"
"4052","Die Vergessenen","http://www.imdb.com/title/tt0356618/",5.8,"50666","5460",2004,"video.movie","0","0","34","89",436,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Average"
"4053","Garfield: Der Film","http://www.imdb.com/title/tt0356634/",4.9,"44402","4800",2004,"video.movie","0","0","32","269",231,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fair"
"4054","Die Familie Stone - Verloben verboten!","http://www.imdb.com/title/tt0356680/",6.3,"41178","6180",2005,"video.movie","3","6","143","196",459,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Average"
"4055","180°: Christopher Nolan Interviews Al Pacino","http://www.imdb.com/title/tt0357402/",7.6,"68","1020",2002,"video.movie","0","0","0","0",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Good"
"4056","The Flyboys","http://www.imdb.com/title/tt0357668/",7,"2439","7080",2008,"video.movie","21","0","22","6",75,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"4058","Darf ich bitten?","http://www.imdb.com/title/tt0358135/",6,"29007","6360",2004,"video.movie","0","0","41","159",202,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Average"
"4060","Comic Books & Superheroes","http://www.imdb.com/title/tt0359095/",6.4,"28","1140",2001,"video.movie","0","0","0","0",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Average"
"4064","Constantine","http://www.imdb.com/title/tt0360486/",6.9,"179579","7260",2005,"video.movie","1","5","51","832",984,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4065","King Kong","http://www.imdb.com/title/tt0360717/",7.3,"256609","11220",2005,"video.movie","24","51","154","1587",2594,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
